UserID,LengthOfScreenName,LengthOfDescriptionInUserProfile,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,AccountAge(hours),FollowingsOnFollowersRatio,ReputationScore,TweetsOnLifetimeRatio,AverageTweetsPerDay,LinksOnTweetsRatio,AverageNumberOfLinksPerTweet,AtSignsOnTweetsRatio,ConsecutiveTweetsAverageTimeDiff,ConsecutiveTweetsMaxTimeDiff,AvgLengthOfTweet,TotalPunctuations
614,10,34,510,350,3265,29432.437777777777,1.457142857142857,0.4069767441860465,0.11093202760340688,8.0,0.01898928024502297,0.31,0.03552833078101072,180.65125628140703,1521.3333333333333,66.45,862.0
1038,7,156,304,443,4405,29268.998888888887,0.6862302483069977,0.5930388219544847,0.15050053528384355,10.0,0.012485811577752554,0.275,0.031555051078320094,138.13417085427136,1225.9666666666667,83.43,803.0
1437,6,37,45,73,725,29259.93,0.6164383561643836,0.6186440677966102,0.02477791300252598,2.816901408450704,0.02620689655172414,0.095,0.16689655172413792,659.7570351758794,6081.95,77.92,825.0
2615,7,0,211,230,211,29443.178055555556,0.9173913043478261,0.5215419501133787,0.007166345956332216,1.3888888888888888,0.12796208530805686,0.135,0.36018957345971564,6673.950753768844,128231.28333333334,76.64,675.0
3148,8,97,7346,7244,11438,29115.29888888889,1.0140806184428492,0.49650445510623714,0.3928518832538937,22.11111111111111,0.01022906102465466,0.5879396984924623,0.01040391676866585,60.92617845117845,1444.5833333333333,74.22613065326634,895.0
5593,8,56,898,1024,2897,28147.160555555554,0.876953125,0.5327783558792925,0.1029233479619387,6.633333333333334,0.022782188470831896,0.36180904522613067,0.02865032792544011,243.30479797979797,3349.4333333333334,90.41206030150754,1005.0
9375,9,11,53,131,566,27042.150833333333,0.40458015267175573,0.7119565217391305,0.020930287812104195,5.2631578947368425,0.11130742049469965,0.315,0.17667844522968199,294.45376884422114,4168.25,73.89,1104.0
10336,6,0,754,4103,6181,26886.453055555554,0.18376797465269315,0.8447601400041178,0.2298927265425522,7.407407407407407,0.00841287817505258,0.27,0.02637113735641482,185.8848408710218,1784.0,104.71,1036.0
10455,9,15,140,222,1192,26806.820277777777,0.6306306306306306,0.6132596685082873,0.04446629580264467,3.4339622641509435,0.010067114093959731,0.07692307692307693,0.07550335570469799,448.035635359116,3685.133333333333,89.83516483516483,605.0
10698,8,63,140,1329,17457,26791.25888888889,0.1053423626787058,0.9046970728386657,0.651593121189237,33.333333333333336,0.0032651658360543048,0.285,0.005785644727043593,29.675879396984925,441.7,65.69,558.0
11718,11,31,254,3639,8245,26711.653611111113,0.06979939543830722,0.9347546879013614,0.3086667759337209,7.142857142857143,0.009945421467556094,0.425,0.01600970285021225,195.28123953098827,1341.8166666666666,124.7,964.0
12527,12,49,108,92,815,26600.2675,1.173913043478261,0.46,0.030638789628713317,2.430379746835443,0.015950920245398775,0.06770833333333333,0.12269938650306748,843.853577661431,7570.45,73.47395833333333,659.0
13602,6,28,145,395,7468,26489.687777777777,0.3670886075949367,0.7314814814814815,0.28192102763343674,11.764705882352942,0.00856989823245849,0.325,0.021023031601499733,123.89120603015077,2094.15,97.765,1016.0
15313,9,20,189,1665,3180,26108.594444444443,0.11351351351351352,0.8980582524271845,0.12179897339041403,4.25531914893617,0.014465408805031447,0.245,0.01761006289308176,376.3597989949749,3659.55,120.66,921.0
16683,8,75,70,322,4458,26077.312777777777,0.21739130434782608,0.8214285714285714,0.17095319743984358,4.081632653061225,0.014356213548676536,0.325,0.014356213548676536,362.29078726968174,2456.35,95.91,1051.0
